status
Statement executed successfully.

status
Statement executed successfully.

LP_LOAN_ID,LOANID,PAYOFFUID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,RECOVERIESPAIDTODATE,CURRENT_LP_STATUS,SETTLEMENTSTATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID,SETTLEMENT_DATA_SOURCE_LIST,POST_CHARGEOFF_PAYMENT_COUNT,TOTAL_POST_CHARGEOFF_PAYMENTS,LAST_POST_CHARGEOFF_PAYMENT_DATE,AUTOPAY_PENDING,AUTOPAY_TYPE,NEXT_AUTOPAY_DATE,AUTOPAY_AMOUNT,AUTOPAY_COUNT,FUTURE_PAYMENT_COUNT,FUTURE_PAYMENT_DATE,TOTAL_FUTURE_PAYMENT_AMOUNT,FUTURE_PAYMENT_TYPES,HAS_SETTLEMENT_DATA,HAS_ACTIVE_AUTOPAY,HAS_FUTURE_PAYMENTS,TOTAL_CONFLICT_COUNT
3762,P81A9DD39FBD4,d694d411-fedb-aa7d-524d-81a9dd39fbd4,Placed - Bounce,2025-08-08,2025-06-29,3341.9000,555.6200,,,,,,,,1,555.62,2025-06-30,Y,autopay.type.recurring,2025-11-01,555.62,1,0,,0.00,,0,1,0,1
72993,P7E7F0C7B0BD7,0ba98ef4-e155-498a-ad59-7e7f0c7b0bd7,Placed - Bounce,2025-08-08,2025-06-29,14990.5800,696.7300,,,,,,,,1,696.73,2025-07-31,Y,autopay.type.recurring,2025-11-01,696.73,1,0,,0.00,,0,1,0,1
71905,P9BA23945E287,61eda24f-8edb-a11f-0131-9ba23945e287,Placed - Bounce,2025-08-08,2025-06-29,3665.6600,1362.8700,,,,,,,,3,1362.87,2025-08-29,Y,autopay.type.recurring,2025-11-01,454.29,1,0,,0.00,,0,1,0,1
70436,P820D749D5F5F,1849111a-c793-d5fe-a212-820d749d5f5f,Placed - Bounce,2025-08-08,2025-06-28,4584.2500,104.0000,,,,,,,,1,104.00,2025-09-26,Y,autopay.type.recurring,2025-10-28,104.00,1,0,,0.00,,0,1,0,1
27830,P9F8B919D0DA7,05e70622-d57b-ebfb-ac88-9f8b919d0da7,Placed - Bounce,2025-08-08,2025-06-27,2494.3300,291.0000,Closed - Charged-Off Collectible,Active,2025-08-11,,1746.03,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,291.00,2025-09-29,N,,,0.00,0,0,,0.00,,1,0,0,1
56097,P5907A2F6469D,a51847a2-5723-444d-053f-5907a2f6469d,Placed - Bounce,2025-08-11,2025-06-26,820.4600,95.7200,Closed - Charged-Off Collectible,Active,2025-08-05,,574.32,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,95.72,2025-09-29,N,,,0.00,0,0,,0.00,,1,0,0,1
49462,P4B3BF8CC31A8,f1338e30-461f-2924-5004-4b3bf8cc31a8,Placed - Bounce,2025-08-08,2025-06-23,10931.2700,476.0000,,,,,,,,1,238.00,2025-07-22,Y,autopay.type.recurring,2025-10-23,238.00,1,0,,0.00,,0,1,0,1
51237,PC94979C76131,042ab072-4cc7-4242-87cb-c94979c76131,Placed - Bounce,2025-08-08,2025-06-23,10365.0800,756.0000,,,,,,,,3,567.00,2025-09-22,Y,autopay.type.recurring,2025-10-23,189.00,1,0,,0.00,,0,1,0,1
34315,P14CE52D75E61,7e7910e6-32f7-751d-3618-14ce52d75e61,Placed - Bounce,2025-08-08,2025-06-22,7112.1500,414.8800,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,1,414.88,2025-07-21,N,,,0.00,0,0,,0.00,,1,0,0,1
6247,PF25887E72FE6,65e05a63-e980-237d-f7e2-f25887e72fe6,Placed - Bounce,2025-08-08,2025-06-22,6701.7900,100.0400,Closed - Charged-Off Collectible,Active,2025-08-04,,4356.16,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,100.04,2025-09-19,N,,,0.00,0,0,,0.00,,1,0,0,1
42765,P30A6108701ED,3f85287e-016e-4fbd-83fd-30a6108701ed,Placed - Bounce,2025-08-08,2025-06-21,18451.6900,528.0000,,,,,,,,3,528.00,2025-09-19,Y,autopay.type.recurring,2025-10-21,176.00,1,0,,0.00,,0,1,0,1
28583,PA9D8C72EDB36,70e83091-4342-ec3e-edaf-a9d8c72edb36,Placed - Bounce,2025-08-08,2025-06-19,1106.3800,719.1500,Closed - Charged-Off Collectible,Broken,2025-08-08,,,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS",1,719.15,2025-08-18,N,,,0.00,0,0,,0.00,,1,0,0,1
65464,P525AD8F988E8,2dcd01bd-024e-4f9b-8599-525ad8f988e8,Placed - Bounce,2025-08-08,2025-06-18,21137.5900,2367.0000,,,,,,,,8,2104.00,2025-09-26,Y,autopay.type.single,2025-10-24,263.00,1,0,,0.00,,0,1,0,1
71567,P788EA24D146E,1350e5ad-4e4e-def6-a6f6-788ea24d146e,Placed - Bounce,2025-08-08,2025-06-12,5551.2500,152.0000,,,,,,,,1,76.00,2025-08-11,Y,autopay.type.recurring,2025-11-12,76.00,1,0,,0.00,,0,1,0,1
42239,P73E8B91E5CE5,856a2b6d-a7b9-8a79-63d4-73e8b91e5ce5,Placed - Bounce,2025-08-08,2025-06-12,9351.3400,546.5800,,,,,,,,0,0.00,,Y,autopay.type.recurring,2025-11-10,546.58,1,0,,0.00,,0,1,0,1
68576,P317E1B3D8D06,753416a1-2981-9729-c6e5-317e1b3d8d06,Placed - Bounce,2025-08-08,2025-06-10,1498.4400,326.7700,,,,,,,,1,326.77,2025-08-07,Y,autopay.type.recurring,2025-11-08,326.77,1,0,,0.00,,0,1,0,1
48294,P0202F21EE403,93175001-4366-54c8-130c-0202f21ee403,Placed - Bounce,2025-08-08,2025-06-07,7096.5600,827.9400,Closed - Charged-Off Collectible,Active,2025-08-05,,4967.59,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,827.94,2025-09-26,N,,,0.00,0,0,,0.00,,1,0,0,1
66507,P90EBDA9F17EB,19a2aad8-f4f6-5f01-37bd-90ebda9f17eb,Placed - Bounce,2025-08-08,2025-06-05,9440.8600,1393.7600,,,,,,,,2,1393.76,2025-10-02,Y,autopay.type.recurring,2025-11-03,696.88,1,0,,0.00,,0,1,0,1
44419,P51B40B1053E6,369c7c37-9494-f808-0839-51b40b1053e6,Placed - Bounce,2025-08-08,2025-06-02,8433.2000,237.4200,,,,,,,,1,237.42,2025-06-06,Y,autopay.type.single,2025-10-24,237.43,30,0,,0.00,,0,1,0,1
47342,PA8D6622DA1F9,c70ada34-baaa-57b3-7197-a8d6622da1f9,Placed - Bounce,2025-08-08,2025-06-01,2857.4000,311.0000,Closed - Charged-Off Collectible,Active,2025-08-06,,2000.18,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",4,311.00,2025-10-01,N,,,0.00,0,0,,0.00,,1,0,0,1
6501,P1318E9013B63,a5f2fcbe-605d-4369-ac9d-1318e9013b63,Placed - Bounce,2025-08-08,2025-05-30,3399.4700,200.0000,Closed - Charged-Off Collectible,,,,,,ACTIONS,2,200.00,2025-07-28,N,,,0.00,0,0,,0.00,,1,0,0,1
74070,PFBBAE2B3826F,de254c0b-2cf6-24a2-0be9-fbbae2b3826f,Placed - Bounce,2025-08-08,2025-05-30,25689.3900,824.3200,,,,,,,,1,824.32,2025-08-27,Y,autopay.type.recurring,2025-10-28,824.32,1,0,,0.00,,0,1,0,1
66250,P9C75CD829324,f4769721-e01e-3c52-84c5-9c75cd829324,Placed - Bounce,2025-08-08,2025-05-30,2658.8500,497.2100,,,,,,,,1,497.21,2025-06-27,Y,autopay.type.recurring,2025-10-28,497.21,1,0,,0.00,,0,1,0,1
72477,P893E89F56AD7,6807c1ed-0994-f596-43cd-893e89f56ad7,Placed - Bounce,2025-08-08,2025-05-29,12048.4200,692.3700,,,,,,,,1,692.37,2025-08-26,Y,autopay.type.recurring,2025-10-27,692.37,1,0,,0.00,,0,1,0,1
72520,PF41BAC762FC5,0d4f74bd-ce03-da4d-30a4-f41bac762fc5,Placed - Bounce,2025-08-11,2025-05-28,1994.0800,232.6600,Closed - Charged-Off Collectible,Active,2025-08-13,,1395.86,,"CUSTOM_FIELDS, PORTFOLIOS, ACTIONS, CHECKLIST_ITEMS",1,116.33,2025-09-11,N,,,0.00,0,0,,0.00,,1,0,0,1
72898,P868C0D7B1CE3,79348e91-f7df-433c-a87f-868c0d7b1ce3,Placed - Bounce,2025-08-08,2025-05-28,16075.0500,25.0000,,,,,,,,1,25.00,2025-08-05,Y,autopay.type.single,2025-10-20,287.88,6,0,,0.00,,0,1,0,1
52623,P39E2F165055E,1654b1aa-7a8e-993e-6ed8-39e2f165055e,Placed - Bounce,2025-08-08,2025-05-27,26337.2400,1536.0000,Closed - Charged-Off Collectible,Active,2025-08-04,,18436.07,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,1536.00,2025-09-29,N,,,0.00,0,0,,0.00,,1,0,0,1
58646,P5F7B24B4F2A2,1c477936-10af-f9db-6a97-5f7b24b4f2a2,Placed - Bounce,2025-08-11,2025-05-26,1967.6900,1180.6100,Closed - Charged-Off Collectible,Broken,2025-06-12,,,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS",1,1180.61,2025-06-18,N,,,0.00,0,0,,0.00,,1,0,0,1
69273,P68344F9ACDBB,f3d32639-6bad-5748-f9fa-68344f9acdbb,Placed - Bounce,2025-08-11,2025-05-23,5355.4000,249.9200,Closed - Charged-Off Collectible,Active,2025-08-11,,3748.78,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",1,249.92,2025-08-26,N,,,0.00,0,0,,0.00,,1,0,0,1
46011,P78871096319C,bf822129-0fd0-a982-7e9a-78871096319c,Placed - Bounce,2025-08-08,2025-05-23,6965.4200,1018.7900,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,5,1018.79,2025-10-02,N,,,0.00,0,0,,0.00,,1,0,0,1
73318,P513D444719DE,b34a7f3c-6015-4913-8735-513d444719de,Placed - Bounce,2025-08-08,2025-05-22,12538.6400,1050.2700,,,,,,,,1,1050.27,2025-08-19,Y,autopay.type.recurring,2025-10-20,1050.27,1,0,,0.00,,0,1,0,1
72123,P30F5AA2CBB9C,cc95d5b5-e932-848c-cd02-30f5aa2cbb9c,Placed - Bounce,2025-08-08,2025-05-18,761.8000,355.5100,Closed - Charged-Off Collectible,Broken,2025-05-27,,,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS",2,355.51,2025-07-30,N,,,0.00,0,0,,0.00,,1,0,0,1
74516,P133DE14DB6F4,2461c8cc-0711-a01a-4217-133de14db6f4,Placed - Bounce,2025-08-08,2025-05-09,7636.9100,890.9600,Closed - Charged-Off Collectible,Active,2025-08-06,,5345.84,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,890.96,2025-09-29,N,,,0.00,0,0,,0.00,,1,0,0,1
38210,P3E0277722B3E,0e0e3e14-488c-dba3-ff6e-3e0277722b3e,Placed - Bounce,2025-08-08,2025-05-09,13922.7800,9049.8000,Closed - Settled in Full,Complete,2025-08-04,2025-08-18,9049.80,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, SUB_STATUS, ACTIONS, CHECKLIST_ITEMS",1,9049.80,2025-08-18,N,,,0.00,0,0,,0.00,,1,0,0,1
34157,P32F9449ECF26,5f22f4f2-e1d8-1c65-5bc9-32f9449ecf26,Placed - Bounce,2025-08-08,2025-05-06,4275.8300,592.1400,,,,,,,,1,592.14,2025-08-01,Y,autopay.type.recurring,2025-11-04,592.14,1,0,,0.00,,0,1,0,1
34017,P7906703CFA40,987a2750-fca6-49c0-bc20-7906703cfa40,Placed - Bounce,2025-08-08,2025-05-06,8940.0300,2704.8800,,,,,,,,4,2704.88,2025-10-01,Y,autopay.type.recurring,2025-11-02,676.22,1,0,,0.00,,0,1,0,1
55578,PB80275724C9C,7c9642be-9db2-187a-743a-b80275724c9c,Placed - Bounce,2025-08-11,2025-05-03,955.5900,657.1400,,,,,,,,2,657.14,2025-06-30,Y,autopay.type.recurring,2025-11-01,328.57,1,0,,0.00,,0,1,0,1
72751,PA9393C82F269,efe7369d-87c5-4002-880f-a9393c82f269,Placed - Bounce,2025-08-08,2025-05-02,18717.6100,3155.7000,,,,,,,,3,3155.70,2025-09-30,Y,autopay.type.recurring,2025-11-01,1051.90,1,0,,0.00,,0,1,0,1
15250,P02D375814254,ee82b8c6-56da-4ce0-96e9-02d375814254,Placed - Bounce,2025-08-08,2025-05-01,32520.8000,3437.5000,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,5,3437.50,2025-09-29,N,,,0.00,0,0,,0.00,,1,0,0,1
776,P451B590F7D56,a88fb2ba-ba86-4a55-b3d4-451b590f7d56,Placed - Bounce,2025-08-08,2025-04-27,29533.1800,50.0000,Closed - Charged-Off Collectible,Active,2025-08-06,,20673.23,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",1,50.00,2025-09-26,N,,,0.00,0,0,,0.00,,1,0,0,1
51412,P4251A53317B8,d16ab00a-869b-530d-8716-4251a53317b8,Placed - Bounce,2025-08-08,2025-04-27,24176.2300,1584.0000,,,,,,,,4,1584.00,2025-09-26,Y,autopay.type.recurring,2025-10-28,396.00,1,0,,0.00,,0,1,0,1
70427,PF1B95F9C3E6F,3082415f-7d51-b31f-4aed-f1b95f9c3e6f,Placed - Bounce,2025-08-11,2025-04-26,3645.7300,2243.8800,,,,,,,,5,1869.90,2025-09-26,Y,autopay.type.recurring,2025-10-27,373.98,1,0,,0.00,,0,1,0,1
71864,P9E6369DC08CE,e572d5fd-428c-353c-3e8e-9e6369dc08ce,Placed - Bounce,2025-08-11,2025-04-25,1922.3300,962.0000,Closed - Settled in Full,Complete,2025-08-08,2025-08-25,962.00,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, SUB_STATUS, ACTIONS, CHECKLIST_ITEMS",1,962.00,2025-08-26,N,,,0.00,0,0,,0.00,,1,0,0,1
67599,P752F97E1A5B3,5227e8e6-55f3-8c6d-8d19-752f97e1a5b3,Placed - Bounce,2025-08-08,2025-04-24,11268.9600,150.0000,Closed - Charged-Off Collectible,,,,,,CUSTOM_FIELDS,1,150.00,2025-05-02,N,,,0.00,0,0,,0.00,,1,0,0,1
68651,PC92A368C3241,353ac373-d79a-1e56-765e-c92a368c3241,Placed - Bounce,2025-08-11,2025-04-24,2358.1300,1259.4300,,,,,,,,3,1259.43,2025-08-22,Y,autopay.type.recurring,2025-10-25,419.81,1,0,,0.00,,0,1,0,1
36832,P1CC936F850B8,0c74280c-b705-8b51-750c-1cc936f850b8,Placed - Bounce,2025-08-08,2025-04-22,24169.7700,2490.0000,,,,,,,,5,2075.00,2025-09-22,Y,autopay.type.recurring,2025-10-23,415.00,1,0,,0.00,,0,1,0,1
74885,P0B271AD5FC7D,4d77cbe3-9b9a-3c6e-5310-0b271ad5fc7d,Placed - Bounce,2025-08-08,2025-04-19,20238.8600,598.0100,,,,,,,,1,598.01,2025-06-26,Y,autopay.type.recurring,2025-10-27,598.01,1,0,,0.00,,0,1,0,1
68036,P3F619B4EA3AA,8b10e8bb-ba99-0e51-44ac-3f619b4ea3aa,Placed - Bounce,2025-08-08,2025-04-18,1671.7000,1661.6400,,,,,,,,5,1384.70,2025-09-18,Y,autopay.type.recurring,2025-10-19,276.94,1,0,,0.00,,0,1,0,1
67098,PEA7D6CD28FAE,2732c487-9f34-b15d-faa5-ea7d6cd28fae,Placed - Bounce,2025-08-08,2025-04-18,5488.1900,794.3400,,,,,,,,3,794.34,2025-08-18,Y,autopay.type.recurring,2025-10-19,264.78,1,0,,0.00,,0,1,0,1
73334,PA1DC8E0293C3,3e873586-74d1-52c8-64a2-a1dc8e0293c3,Placed - Bounce,2025-08-08,2025-04-16,7566.3600,525.1400,,,,,,,,0,0.00,,Y,autopay.type.recurring,2025-11-17,525.14,1,0,,0.00,,0,1,0,1
67613,P04D6925DC658,0d532a85-48d1-6954-ffa7-04d6925dc658,Placed - Bounce,2025-08-08,2025-04-16,1866.8500,437.0800,Closed - Charged-Off Collectible,Active,2025-08-07,,1307.00,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",4,437.08,2025-09-25,N,,,0.00,0,0,,0.00,,1,0,0,1
63887,P374A58B18047,15aa978e-291b-748f-0e81-374a58b18047,Placed - Bounce,2025-08-11,2025-04-14,12424.6900,4595.2800,,,,,,,,3,3446.46,2025-09-12,Y,autopay.type.recurring,2025-11-15,1148.82,1,0,,0.00,,0,1,0,1
25506,P31BC812ECDFE,a49d6d7d-c657-7492-85b2-31bc812ecdfe,Placed - Bounce,2025-08-08,2025-04-12,12800.9800,1007.0400,,,,,,,,1,1007.04,2025-04-23,Y,autopay.type.recurring,2025-11-13,501.76,1,0,,0.00,,0,1,0,1
75476,PDD61845D30D4,710a369c-a6aa-be7d-23a0-dd61845d30d4,Placed - Bounce,2025-08-08,2025-04-10,3524.4100,1352.6200,,,,,,,,2,1352.62,2025-05-16,Y,autopay.type.recurring,2025-10-18,676.31,1,0,,0.00,,0,1,0,1
73966,P66478BB6EC8C,bae4e407-6e80-43d1-9428-66478bb6ec8c,Placed - Bounce,2025-08-08,2025-04-05,4606.9700,1103.4900,,,,,,,,3,1103.49,2025-10-03,Y,autopay.type.recurring,2025-11-06,367.83,1,0,,0.00,,0,1,0,1
66548,P6C1EF2FCD198,4e57ddc9-9775-f202-38b8-6c1ef2fcd198,Placed - Bounce,2025-08-08,2025-04-01,7531.7700,2285.1200,,,,,,,,4,2285.12,2025-09-26,Y,autopay.type.recurring,2025-10-28,571.28,1,0,,0.00,,0,1,0,1
72254,P5ACB9C3ED4DA,c9a6b62b-3416-5203-ce4f-5acb9c3ed4da,Placed - Bounce,2025-06-18,2025-03-31,5330.0000,388.1600,,,,,,,,1,388.16,2025-04-25,Y,autopay.type.recurring,2025-10-27,388.16,1,0,,0.00,,0,1,0,1
68827,P0559688508F0,00ead493-aa30-89aa-e298-0559688508f0,Placed - Bounce,2025-06-18,2025-03-27,16071.4200,1340.0000,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,5,1340.00,2025-09-17,N,,,0.00,0,0,,0.00,,1,0,0,1
